name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,count0,count0.25,count0.5,count1,count2,Count4,Combined_score_1,attack,defense,base_happiness,hp,special_attack,special_defense,speed,capture_rate,cap_rate_normalized,Combined_score_2,classfication,experience_growth,height,japanese_name,percentage_male,pokedex_number,type1,type2,weight_kg,generation,is_legendary
Fearow,"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,2,0,2,11,3,0,130,90,65,70,65,61,61,100,90,51.17072191,518.667,Beak Pokémon,1000000,1.2,Onidrillオニドリル,50,22,normal,flying,38,1,0
Ekans,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,0,5,11,2,0,88,60,44,70,35,40,54,55,255,41.55343044,360.353,Snake Pokémon,1000000,2,Arboアーボ,50,23,poison,,6.9,1,0
Arbok,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,0,5,11,2,0,88,95,69,70,60,65,79,80,90,51.17072191,524.667,Cobra Pokémon,1000000,3.5,Arbokアーボック,50,24,poison,,65,1,0
Pikachu,"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,0,0,3,14,1,0,82,55,40,70,35,50,50,90,190,43.88363883,393.158,Mouse Pokémon,1000000,0.4,Pikachuピカチュウ,50,25,electric,,6,1,0
Raichu,"['Static', 'Lightningrod', 'Surge Surfer']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,0,0,3,14,1,0,82,85,50,70,60,95,85,110,75,53.33159079,563,Mouse Pokémon,1000000,,Raichuライチュウ,50,26,electric,electric,,1,0
Sandshrew,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,1,0,2,12,3,0,102,75,90,70,50,10,35,40,255,41.55343044,372.353,Mouse Pokémon,1000000,,Sandサンド,50,27,ground,ice,,1,0
Sandslash,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,1,0,2,12,3,0,102,100,120,70,75,25,65,65,90,51.17072191,526.667,Mouse Pokémon,1000000,,Sandpanサンドパン,50,28,ground,ice,,1,0
Nidoran♀,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,0,5,11,2,0,88,47,52,70,55,40,40,41,235,42.17508979,347.553,Poison Pin Pokémon,1059860,0.4,Nidoran?ニドラン♀,0,29,poison,,7,1,0
Nidorina,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,0,5,11,2,0,88,62,67,70,70,55,55,56,120,48.09585513,440,Poison Pin Pokémon,1059860,0.8,Nidorinaニドリーナ,0,30,poison,,20,1,0
Nidoqueen,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,1,1,4,8,4,0,120,92,87,70,90,75,85,76,45,60.48829123,588.333,Drill Pokémon,1059860,1.3,Nidoqueenニドクイン,0,31,poison,ground,60,1,0
Nidoran♂,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,0,5,11,2,0,88,57,40,70,46,40,40,50,235,42.17508979,345.553,Poison Pin Pokémon,1059860,0.5,Nidoran?ニドラン♂,100,32,poison,,9,1,0
Nidorino,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,0,5,11,2,0,88,72,57,70,61,55,55,65,120,48.09585513,440,Poison Pin Pokémon,1059860,0.9,Nidorinoニドリーノ,100,33,poison,,19.5,1,0
Nidoking,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,1,1,4,8,4,0,120,102,77,70,81,85,75,85,45,60.48829123,588.333,Drill Pokémon,1059860,1.4,Nidokingニドキング,100,34,poison,ground,62,1,0
Clefairy,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,1,0,3,12,2,0,108,45,48,140,70,60,65,35,150,45.95395509,467,Fairy Pokémon,800000,0.6,Pippiピッピ,24.6,35,fairy,,7.5,1,0
Clefable,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,1,0,3,12,2,0,108,70,73,140,95,95,90,60,25,71.5338279,647,Fairy Pokémon,800000,1.3,Pixyピクシー,24.6,36,fairy,,40,1,0
Vulpix,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,41,40,70,38,50,65,65,190,43.88363883,372.158,Fox Pokémon,1000000,,Rokonロコン,24.6,37,fire,ice,,1,0
Ninetales,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,67,75,70,73,81,100,109,75,53.33159079,583,Fox Pokémon,1000000,,Kyukonキュウコン,24.6,38,fire,ice,,1,0
Jigglypuff,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2,0,2,12,2,0,132,45,20,70,115,45,25,20,170,44.83402379,343.529,Balloon Pokémon,800000,0.5,Purinプリン,24.6,39,normal,fairy,5.5,1,0
Wigglytuff,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2,0,2,12,2,0,132,70,45,70,140,85,50,45,50,58.85919101,517,Balloon Pokémon,800000,1,Pukurinプクリン,24.6,40,normal,fairy,12,1,0
Zubat,"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,1,3,2,8,4,0,136,45,35,70,40,30,40,55,255,41.55343044,317.353,Bat Pokémon,1000000,0.8,Zubatズバット,50,41,poison,flying,7.5,1,0
Golbat,"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,1,3,2,8,4,0,136,80,70,70,75,65,75,90,90,51.17072191,531.667,Bat Pokémon,1000000,1.6,Golbatゴルバット,50,42,poison,flying,55,1,0
Oddish,"['Chlorophyll', 'Run Away']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,0,1,4,9,4,0,92,50,55,70,45,75,65,30,255,41.55343044,392.353,Weed Pokémon,1059860,0.5,Nazonokusaナゾノクサ,50,43,grass,poison,5.4,1,0
Gloom,"['Chlorophyll', 'Stench']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,0,1,4,9,4,0,92,65,70,70,60,85,75,40,120,48.09585513,470,Weed Pokémon,1059860,0.8,Kusaihanaクサイハナ,50,44,grass,poison,8.6,1,0
Vileplume,"['Chlorophyll', 'Effect Spore']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,0,1,4,9,4,0,92,80,85,70,75,110,90,50,45,60.48829123,573.333,Flower Pokémon,1059860,1.2,Ruffresiaラフレシア,50,45,grass,poison,18.6,1,0
Paras,"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,0,2,3,7,4,2,94,70,55,70,35,45,55,25,190,43.88363883,358.158,Mushroom Pokémon,1000000,0.3,Parasパラス,50,46,bug,grass,5.4,1,0
Parasect,"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,0,2,3,7,4,2,94,95,80,70,60,60,80,30,75,53.33159079,483,Mushroom Pokémon,1000000,1,Parasectパラセクト,50,47,bug,grass,29.5,1,0
Venonat,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,0,2,3,9,4,0,100,55,50,70,60,40,55,45,190,43.88363883,378.158,Insect Pokémon,1000000,1,Kongpangコンパン,50,48,bug,poison,30,1,0
Venomoth,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,0,2,3,9,4,0,100,65,60,70,70,90,75,90,75,53.33159079,528,Poison Moth Pokémon,1000000,1.5,Morphonモルフォン,50,49,bug,poison,12.5,1,0
Diglett,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,1,0,2,12,3,0,102,55,30,70,10,35,45,90,255,41.55343044,337.353,Mole Pokémon,1000000,,Digdaディグダ,50,50,ground,ground,,1,0
Dugtrio,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,1,0,2,12,3,0,102,100,60,70,35,50,70,110,50,58.85919101,507,Mole Pokémon,1000000,,Dugtrioダグトリオ,50,51,ground,ground,,1,0
Meowth,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,35,35,70,40,50,40,90,255,41.55343044,362.353,Scratch Cat Pokémon,1000000,,Nyarthニャース,50,52,normal,dark,,1,0
Persian,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,60,60,70,65,75,65,115,90,51.17072191,516.667,Classy Cat Pokémon,1000000,,Persianペルシアン,50,53,normal,dark,,1,0
Psyduck,"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,52,48,70,50,65,50,55,190,43.88363883,393.158,Duck Pokémon,1000000,0.8,Koduckコダック,50,54,water,,19.6,1,0
Golduck,"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,82,78,70,80,95,80,85,75,53.33159079,578,Duck Pokémon,1000000,1.7,Golduckゴルダック,50,55,water,,76.6,1,0
Mankey,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,0,0,3,12,3,0,78,80,35,70,40,35,45,70,190,43.88363883,378.158,Pig Monkey Pokémon,1000000,0.5,Mankeyマンキー,50,56,fighting,,28,1,0
Primeape,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,0,0,3,12,3,0,78,105,60,70,65,60,70,95,75,53.33159079,533,Pig Monkey Pokémon,1000000,1,Okorizaruオコリザル,50,57,fighting,,32,1,0
Growlithe,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,70,45,70,55,70,50,60,190,43.88363883,423.158,Puppy Pokémon,1250000,0.7,Gardieガーディ,75.4,58,fire,,19,1,0
Arcanine,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,110,80,70,90,100,80,95,75,53.33159079,633,Legendary Pokémon,1250000,1.9,Windieウインディ,75.4,59,fire,,155,1,0
Poliwag,"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,50,40,70,40,40,40,90,255,41.55343044,372.353,Tadpole Pokémon,1059860,0.6,Nyoromoニョロモ,50,60,water,,12.4,1,0
Poliwhirl,"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,65,65,70,65,50,50,90,120,48.09585513,460,Tadpole Pokémon,1059860,1,Nyorozoニョロゾ,50,61,water,,20,1,0
Poliwrath,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,0,0,7,6,5,0,90,95,95,70,90,70,90,70,45,60.48829123,593.333,Tadpole Pokémon,1059860,1.3,Nyorobonニョロボン,50,62,water,fighting,54,1,0
Abra,"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,0,0,2,13,3,0,74,20,15,70,25,105,55,90,200,43.45879897,383,Psi Pokémon,1059860,0.9,Caseyケーシィ,75.4,63,psychic,,19.5,1,0
Kadabra,"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,0,0,2,13,3,0,74,35,30,70,40,120,70,105,100,50,476,Psi Pokémon,1059860,1.3,Yungererユンゲラー,75.4,64,psychic,,56.5,1,0
Alakazam,"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,0,0,2,13,3,0,74,50,65,70,55,175,105,150,50,58.85919101,682,Psi Pokémon,1059860,1.5,Foodinフーディン,75.4,65,psychic,,48,1,0
Machop,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,0,0,3,12,3,0,78,80,50,70,70,35,35,35,180,44.34053968,378.333,Superpower Pokémon,1059860,0.8,Wanrikyワンリキー,75.4,66,fighting,,19.5,1,0
Machoke,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,0,0,3,12,3,0,78,100,70,70,80,50,60,45,90,51.17072191,481.667,Superpower Pokémon,1059860,1.5,Gorikyゴーリキー,75.4,67,fighting,,70.5,1,0
Machamp,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,0,0,3,12,3,0,78,130,80,70,90,65,85,55,45,60.48829123,588.333,Superpower Pokémon,1059860,1.6,Kairikyカイリキー,75.4,68,fighting,,130,1,0
Bellsprout,"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,0,1,4,9,4,0,92,75,35,70,50,70,30,40,255,41.55343044,372.353,Flower Pokémon,1059860,0.7,Madatsubomiマダツボミ,50,69,grass,poison,4,1,0
Weepinbell,"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,0,1,4,9,4,0,92,90,50,70,65,85,45,55,120,48.09585513,465,Flycatcher Pokémon,1059860,1,Utsudonウツドン,50,70,grass,poison,6.4,1,0
Victreebel,"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,0,1,4,9,4,0,92,105,65,70,80,100,70,70,45,60.48829123,573.333,Flycatcher Pokémon,1059860,1.7,Utsubotウツボット,50,71,grass,poison,15.5,1,0
Tentacool,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,0,0,8,7,3,0,98,40,35,70,40,50,100,70,190,43.88363883,408.158,Jellyfish Pokémon,1250000,0.9,Menokurageメノクラゲ,50,72,water,poison,45.5,1,0
Tentacruel,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,0,0,8,7,3,0,98,70,65,70,80,80,120,100,60,56.23818558,595,Jellyfish Pokémon,1250000,1.6,Dokukurageドククラゲ,50,73,water,poison,55,1,0
Geodude,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,1,1,4,6,4,2,114,80,100,70,40,30,30,20,255,41.55343044,372.353,Rock Pokémon,1059860,,Isitsubuteイシツブテ,50,74,rock,ground,,1,0
Graveler,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,1,1,4,6,4,2,114,95,115,70,55,45,45,35,120,48.09585513,465,Rock Pokémon,1059860,,Goloneゴローン,50,75,rock,ground,,1,0
Golem,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,1,1,4,6,4,2,114,120,130,70,80,55,65,45,45,60.48829123,578.333,Megaton Pokémon,1059860,,Golonyaゴローニャ,50,76,rock,ground,,1,0
Ponyta,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,85,55,70,50,65,65,90,190,43.88363883,483.158,Fire Horse Pokémon,1000000,1,Ponytaポニータ,50,77,fire,,30,1,0
Rapidash,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,100,70,70,65,80,80,105,60,56.23818558,580,Fire Horse Pokémon,1000000,1.7,Gallopギャロップ,50,78,fire,,95,1,0
Slowpoke,"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,0,0,6,7,5,0,86,65,65,70,90,40,40,15,190,43.88363883,388.158,Dopey Pokémon,1000000,1.2,Yadonヤドン,50,79,water,psychic,36,1,0
Slowbro,"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,0,0,6,7,5,0,86,75,180,70,95,130,80,30,75,53.33159079,668,Hermit Crab Pokémon,1000000,1.6,Yadoranヤドラン,50,80,water,psychic,78.5,1,0
Magnemite,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,1,2,9,3,2,1,153,35,70,70,25,95,55,45,190,43.88363883,398.158,Magnet Pokémon,1000000,0.3,Coilコイル,,81,electric,steel,6,1,0
Magneton,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,1,2,9,3,2,1,153,60,95,70,50,120,70,70,60,56.23818558,545,Magnet Pokémon,1000000,1,Rarecoilレアコイル,,82,electric,steel,60,1,0
Farfetch'd,"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,2,0,2,11,3,0,130,90,55,70,52,58,62,60,45,60.48829123,460.333,Wild Duck Pokémon,1000000,0.8,Kamonegiカモネギ,50,83,normal,flying,15,1,0
Doduo,"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,2,0,2,11,3,0,130,85,45,70,35,35,35,75,190,43.88363883,383.158,Twin Bird Pokémon,1000000,1.4,Dodoドードー,50,84,normal,flying,39.2,1,0
